country_code,NUTS3_2006,NUTS3_2010,NUTS3_2013,NUTS3_2016,Source,id,Comment
DE,DE808,DE808,,,NUTS3,DEU_2,
DE,DE809,DE809,,,NUTS3,DEU_2,
DE,DE80A,DE80A,,,NUTS3,DEU_2,
DE,DE80B,DE80B,,,NUTS3,DEU_2,
DE,DE80C,DE80C,,,NUTS3,DEU_2,
DE,DE80D,DE80D,,,NUTS3,DEU_2,
DE,DE80E,DE80E,,,NUTS3,DEU_2,
DE,DE80F,DE80F,,,NUTS3,DEU_2,
DE,DE80G,DE80G,,,NUTS3,DEU_2,
DE,DE80H,DE80H,,,NUTS3,DEU_2,
DE,DE80I,DE80I,,,NUTS3,DEU_2,
DE,DEA21,,,,NUTS3,DEU_3,
DE,DEA25,,,,NUTS3,DEU_3,
DE,DED12,,,,NUTS3,DEU_4,
DE,DED13,,,,NUTS3,DEU_4,
DE,DED14,,,,NUTS3,DEU_4,
DE,DED15,,,,NUTS3,DEU_4,
DE,DED16,,,,NUTS3,DEU_4,
DE,DED17,,,,NUTS3,DEU_4,
DE,DED18,,,,NUTS3,DEU_4,
DE,DEF0D,DEF0D,DEF0D,DEF0D,NUTS3,DEU_1,
DE,DEB38,DEB38,DEB38,DEB38,NUTS3,DEU_5,
DE,DEF0C,DEF0C,DEF0C,DEF0C,NUTS3,DEU_1,
DE,DEF0A,DEF0A,DEF0A,DEF0A,NUTS3,DEU_1,
DE,,DED42,DED42,DED42,NUTS3,DEU_4,
DE,DED11,DED41,DED41,DED41,NUTS3,DEU_4,
DE,,DED2F,DED2F,DED2F,NUTS3,DEU_4,
DE,,DED2E,DED2E,DED2E,NUTS3,DEU_4,
DE,,DED2D,DED2D,DED2D,NUTS3,DEU_4,
DE,,DED2C,DED2C,DED2C,NUTS3,DEU_4,
DE,DED21,DED21,DED21,DED21,NUTS3,DEU_4,
DE,DEC06,DEC06,DEC06,DEC06,NUTS3,DEU_5,
DE,DEC05,DEC05,DEC05,DEC05,NUTS3,DEU_5,
DE,DEC04,DEC04,DEC04,DEC04,NUTS3,DEU_5,
DE,DEC03,DEC03,DEC03,DEC03,NUTS3,DEU_5,
DE,,DED43,DED43,DED43,NUTS3,DEU_4,
DE,DEC02,DEC02,DEC02,DEC02,NUTS3,DEU_5,
DE,DEB3K,DEB3K,DEB3K,DEB3K,NUTS3,DEU_5,
DE,DEB3J,DEB3J,DEB3J,DEB3J,NUTS3,DEU_5,
DE,DEB3I,DEB3I,DEB3I,DEB3I,NUTS3,DEU_5,
DE,DEB3H,DEB3H,DEB3H,DEB3H,NUTS3,DEU_5,
